route_idx,route_name,svc,region_idx,region,sort_idx,carriers,port_rotation,frequency,duration,ships,updated_at
154,Korea Shipping Thailand service (KST),KST,31,SE Asia,5,CK Line / Pan Ocean,"Incheon,Busan,Ho Chi Minh City,Laem Chabang,Bangkok,Laem Chabang,Ho Chi Minh City,Incheon",7,21,"3 x 1,810 teu",
155,Korea Taiwan Haiphong service (KTH),KTH,32,SE Asia,5,Evergreen,"Hakata,Kwangyang,Busan,Incheon,Qingdao,Taipei,Kaohsiung,Haiphong,Kaohsiung,Taipei,Hakata",7,21,"3 x 1,879 teu",
156,Korea Thailand Express (KTX),KVX1,33,SE Asia,5,KMTC / CKL / Pan Ocean,"Incheon,Busan,Shanghai,Ho Chi Minh City,Laem Chabang,Bangkok,Laem Chabang,Ho Chi Minh City,Incheon",7,21,"3 x 1,810 teu",
157,Korea Thailand Service (KTS / KTS1),KTS,34,SE Asia,5,KMTC / Sinokor ,"Busan,Ulsan,Hong Kong,Ho Chi Minh City,Laem Chabang,Bangkok,Laem Chabang,Hong Kong,Shekou,Keelung,Busan",7,21,"3 x 1,748 teu",
158,Korea Vietnam Thailand (KVT),KVT,35,SE Asia,5,KMTC / Namsung / Pan Continental ,"Kwangyang,Busan,Hong Kong,Ho Chi Minh City,Laem Chabang,Bangkok,Laem Chabang,Ho Chi Minh City,Kwangyang",7,21,"3 x 1,828 teu",
159,Korea-China-Indonesia service (CKI),CKI2,36,SE Asia,5,KMTC,"Busan,Kwangyang,Shanghai,Ningbo,Jakarta,Surabaya,Ho Chi Minh City,Shanghai,Busan",7,21,"3 x 1,824 teu",
160,Korea-China-Malaysia service (KCM),KCM,37,SE Asia,5,SITC/TSL,"Busan,Incheon,Qingdao,Shanghai,Hong Kong,Port Klang Westport,Pasir Gudang,Hong Kong,Shekou,Busan",7,21,"3 x 2,774 teu",
161,Korea-China-Malaysia service (KMSK),KMS3,38,SE Asia,5,KMTC,"Pohang,Ulsan,Kwangyang,Shanghai,Singapore,Port Klang Northport,Penang,Singapore,Hong Kong,Shanghai,Busan,Pohang",7,21,"3 x 2,623 teu",
162,Korea-Haiphong service (KHP),KHP,39,SE Asia,5,KMTC / Namsung,"Incheon,Busan,Ulsan,Haiphong,Shekou,Incheon",7,14,"2 x 1,693 teu",
163,Korea-HK-Thailand-HCMC / New Thailand Express (NTX),NTX,40,SE Asia,5,Sinokor / Dongjin / Namsung ,"Incheon,Pyongtaek,Kwangyang,Busan,Ho Chi Minh City,Laem Chabang,Bangkok,Laem Chabang,Ho Chi Minh City,Incheon",7,21,"3 x 1,809 teu",
164,Korea-Indonesia 1 (KI 1),KI1,41,SE Asia,5,KMTC / Sinokor / Heung-A ,"Kwangyang,Ulsan,Busan,Hong Kong,Singapore,Jakarta,Surabaya,Hong Kong,Kwangyang",7,28,"4 x 2,449 teu",
165,Korea-Vietnam Service (KVS),KVS,42,SE Asia,5,WH,"Incheon,Kwangyang,Busan,Ulsan,Taipei,Taichung,Xiamen,Ho Chi Minh City,Port Klang Westport,Port Klang Northport,Ho Chi Minh City,Kaohsiung,Taichung,Taipei,Incheon",7,21,"3 x 2,780 teu",
